月,日,時,外気温[℃],外気絶対湿度 [kg/kgDA],法線面直達日射量 [W/m2],水平面天空日射量 [W/m2],水平面夜間放射量 [W/m2],太陽高度角[度],太陽方位角[度]
1,4,19,1.5,1.633828747,0,0,90.96151861,-23,77
1,4,20,1.3,1.569066423,0,0,91.64072917,-35,85
1,4,21,1.17,1.74722471,0,0,87.12590361,-47,87
1,4,22,0.99,1.667960596,0,0,88.16092333,-60,76
1,4,23,0.03,1.450030034,0,0,89.40807611,-71,56
1,4,24,-0.59,1.573523194,0,0,84.07510778,-78,10
1,5,1,-1.18,1.527595024,0,0,82.84232194,-74,-46
1,5,2,-1.75,1.454788264,0,0,82.35868833,-63,-71
1,5,3,-1.04,1.49799729,0,0,84.08140528,-51,-84
1,5,4,-0.75,1.458876728,0,0,86.14033417,-39,-87
1,5,5,-0.66,1.50443167,0,0,85.41042972,-26,-80
1,5,6,-0.67,1.549977843,0,0,84.30679083,-14,-72
1,5,7,-0.8,1.617043744,0,0,82.26027917,-3,-64
1,5,8,-1.54,1.780605134,270.4543417,44.16000056,75.7626325,8,-56
1,5,9,0.04,1.908541219,169.0326558,122.539835,79.20691583,17,-45
1,5,10,1.81,1.915560978,64.09713944,176.7771447,86.09328861,25,-33
1,5,11,3.51,1.924713939,814.5307947,94.18473639,92.78649528,30,-19
1,5,12,4.14,2.017380673,122.5216756,243.3198031,93.46537028,33,-3
1,5,13,4.65,2.122601233,73.78230417,232.0199381,93.4598575,31,14
1,5,14,4.62,2.217859643,9.662007778,151.9699533,91.47077389,27,29
1,5,15,4.8,2.272631781,8.883424722,113.6143344,91.16198139,20,42
1,5,16,4.52,2.285747634,17.99490389,74.83181389,89.75285361,11,53
1,5,17,3.66,2.298462847,0,0,85.97388472,0,62
1,5,18,2.49,2.37698452,0,0,79.73422833,-11,70
1,5,19,1.2,2.525077879,0,0,71.83025306,-23,77
1,5,20,0.97,2.576693064,0,0,69.98359722,-35,85
